What in the heck,placeholders,in,this,line,seem,to,get,ignored,as,long,as,they,are,the,first,line,and,no,longer,than,the,list,of,values,that,will,be,added,mustbeequal
Match Number,Team Number,Auto Move,L1 auto,L2 auto,L3 auto,L4 auto,processor auto, net auto,L1 tele,L2 tele,L3 tele,L4 tele,processor tele,net tele,park end,shallow cage end,deep cage end,auto total,tele total,total,coral score,algae score,location score,coral score %,algae score %,location score %,average score at event,natural epa,comments

7,6324,1,0,0,0,1,0,0,2,0,0,5,0,0,0,0,1,10,41,51,36,0,15,71,0,29,<statbotics.main.Statbotics object at 0x0000024FA59F3320>,1544.0,Decent I guess
